0,1
На русском   языке  -Орыс тілінде ,На казахском языке- Қазақ тілінде 
АО-Акционерное общество ,АҚ-Акционерлік қоғам 
АО « ForteBank » ,« ForteBank » АҚ 
АБР-Азиатский Банк развития,АДБ- Азиялық Даму банкі 
АГФ- Алматинский городской филиал ,АҚФ- Алматы қалалық филиалы 
АБИС- автоматизированная (программа) банковская информационная система ,АБАЖ- автоматтандырылған банктік ақпараттық жүйе 
БИК –банковский идентификационный код  назначение платежа или МФО ,"БСК - Төлемді тағайындаудың 
	 Банктік Сəйкестендіру Коды   "
УБП- Управление бизнес продаж,БСБ- Бизнес сатылымдар басқармасы 
УРП- Управление розничных продаж ,БөлСБ- Бөлшек сатылымдар басқармасы 
ГПО-гражданско-правовая ответсвенность ,АҚЖ- азаматтық-құқықтық жауапкершілік 
ДВКА-Департамент внутренного контроля и аудита ,АІБД- Аудит жəне ішкі бақылау департаменті 
ЕБРР-  Европейский  Банк реконструкции и развития ,ЕҚДБ- Еуропалық қайта құру жəне даму банкі 
ЕКНП – единый код назначение платежа 	 (3х знач.) ,ТТБК - Төлемді тағайындаудың  бірыңғай коды 
ЗАО-закрытое акционерное общество ,ЖАҚ- жабық акционерлік қоғам 
"ИИК– индивидуальный 
идентификационный 
	 код (банковский счет клиента ",ЖСК - Жеке сəйкестендіру коды 	 (клиенттің банктік шоты) 
ИЖС – индивидуальное жилищное строительство ,ЖТҚ - жеке тұрғын үй құрылысы - 
ИТД- индив. Трудовой договор- ,ЖЕШ- жеке еңбек шарты 
"КБК – код бюджетной классификации 
	 (только при перечислении платежа) ", БТК-Бюджеттік топтастыру коды 
Кбе -  Код бенифициара ,БеК – Бенифициар коды 
КНП – код назначение платежа ,ТБК -  Төлем белгілеу коды 
КомАП- Комитет по Активам и Пассивам ,АПКом- Актив жəне пассив бойынша Комитет 
МПС-Международная платежная система ,ХТЖ- Халықаралық төлем жүйесі 
МТП- Международная Торговая Палата ,ХСП- Халықаралық Сауда Палатасы 
МСФО- международный стандарт финансовой отчетности ,ҚЕХС- Қаржылық есептеуде Халықаралық стандарт 
МЖС- многоэтажное жилищное строительство ,КТҚ-көп қабатты тұрғын үй құрылысы – 
МФО  -  межфилиальные обороты ,ФАА-  филиал аралық айналымдар 
НИН -  национальный идентификационный номер ,ҰСН  - ұлттық сəйкестендірушілік нөмірі 
НДС-Налог на добавленную стоимость ,ҚҚС- қосылған құн салығы 
ООКСП- Отдел обслуживания КорСчетов и платежей ,КШТҚКБ- КорШоттар мен Төлемдерге қызмет көрсету бөлімі 
ОКПО-Общий гос. код предпр. и,ҰКЖК- Ұйымдар мен Кəсіпорындардың 
"банковскими сообщениями 
Республиканского государственного предприятия Казахстанский центр межбанковских расчетов","есепайырысу 	орталығы 	республикалық 
мемлекеттік кəсіпорнының 	банктік 
хабарлармен алмасу жүйесі "
"КПСиСУ ГП РК - Комитета по правовой статистике и специальным учетам. 
Генеральной прокуратуры Республики 
Казахстан","ҚР БП ҚСАЕК - Қазақстан Республикасы 
статистика жəне арнайы есепке алу жөнiндегi комитетi"
КОд – код отправителя денег ,АЖК - Ақша жіберушінің коды 
КБК – код бюджетной классификации ,БСК - бюджеттік сыныптама коды 
ОКЭД – общийклассификаторвидовэкономическойдеятельности,ЭҚЖК – Экономикалық қызмет түрлерінің жалпы классификаторы 
"ПрограммаГПИИР. государственнаяпрограммаиндустриально-
инновационногоразвитияРеспублики Казахстан ",ИИДМБ  - индустриалды-инновациялық дамыту мемлекеттік бағдарламасы 
МИБ – мобильный интернет-банкинг ,МИБ – мобилді интернет-банкинг 
КУАП – комитет по управлению активами и пассивами ,АПБК – активтер мен пассивтерді басқару бойынша комитет 
ФОТ – фонд оплаты труда,ЕТҚ – еңбекақы төлеу қоры 
СМСП - Субъекты малого и среднего предпринимательства ,ШОКС - Шағын жəне орта кəсіпкерлік субъектісі 
ПКБ - первое кредитное бюро,БКБ - Бірінші кредиттік бюро 
ЕРДР – Единого реестра досудебных расследований ,СДТТБТ – Сотқа дейінгі тергеп-тексерулердің бірыңғай тізілімі 
"СГРП - Свидетельство о государственной 
",құқықтарды және онымен жасалатын мәмiлелердi мемлекеттiк тiркеу туралы 
КПД – комитет по проблемным долгам ,ПБК - проблемалық берешек жөніндегі комитет 
ГОМ – главный операционныйменеджер ,БОМ – бас операциялық менеджер 
"УАП 	ДВД 	– 	управление 
административной 	полиции 
департамента внутренних дел",ІІД ӘПБ – Ішкі істер департаментінің Әкімшілік полиция басқармасы
"КМ- Кредитный менеджер 
МС – Менеджер счета 
УРП – Управление розничных продаж ","КМ – кредит менеджері 
ШМ- шот менеджері 
БөСБ - Бөлшек сатлым басқармасы "
КПД – комитет по проблемным долгам ,ПБК - проблемалық берешек жөніндегі комитет 
ГОМ – главный операционныйменеджер ,БОМ – бас операциялық менеджер 
СМСП - Субъекты малого и среднего предпринимательства,ШОКС - Шағын және орта кәсіпкерлік субъектілері 
Иностранное публичное должностное лицо (ИПДЛ) ,Шетелдік бұқараға танымды лауазымды тұлға (ШБТЛТ) 
ПО - Производственное объединение ,ӨБ - Өндірістік бірлестік 
СУБД (Система управления базами данных) ,МҚБЖ – Мәліметтер қорын басқару жүйесі 
НИН – национальный идентификационный номер ,ҰСН – ұлттық сәйкестендіру нөмірі 
УУМО НБРК ,ҚР ҰБ МОЕБ
"ГКП на ПХВ - государственное 
коммунальное предприятие на праве хозяйственного ведения",
ГККП - Государственноекоммунальноеказенноепредприятие,
МКПД ГБ (Малый комитет по проблемным долгам Головного банка) ,Бас Банктің Проблемалы борыштар бойынша комитеті 
СДБО система дистанционного банковского обслуживания,ҚБҚЖ қашықтан банктік қызмет көрсету жүйесі
СКЛ – Соглашение об откытии кредитной линии ,КЖК – Кредит желісін ашу туралы келісім 
,
,
,
,
,
организации ,жалпы мемлекеттік коды 
 ПИН-код – персональный идентификационный номер ,ДСН коды -дербес сəйкестендіру нөмірі 
ППР- план профилактических работ ,АЖЖ- алдын ала сақтық жұмыстарының жоспары 
РНН-регистрационный номер налогоплательщика,СТН-салық төлеушінің тіркелу нөмері
РГ-расчетная группа- ,ЕТ- есеп айырысу тобы 
,
РГКП- республиканское государственное казенное предприятие ,РМҚК- Республикалық мемлекеттік қазыналық кəсіпорын 
РССС- республиканская служба специальной связи ,РАБҚ-Республикалық арнайы байланыс қызметі 
СМК- Система менеджмента качества ,СПЖ- Сапа менеджмент жүйесі 
СПД- сеть передач данных ,МЖЖ- мəліметтерді жіберу желісі 
СТОП-Сеть телекоммуникаций общего пользования ,ТЖАЖ – Телекоммуникацияның жалпыға арналған желісі 
ТОО- Товарищество с ограниченной ответственностью ,ЖШС -Жауапкершілігі шектеулі серіктестік 
ТРК- торгово-развлекательный комплекс ,СКК- сауда көңіл көтеру кешені 
ТС- транспортные средства ,КҚ- көліктік құралдар 
ТЭО- технико-экономическое обоснование ,ТЭД – технико- экономикалық  дəлелдеме 
ТБиОТ- Техника безопасности и Охрана труда ,ТҚжЕҚ- Техникалық қауіпсіздік жəне еңбекті қорғау 
УУМО - управление учета монетарных операций ,МОЕБ- Монетарлық операциялар есебінің басқармасы 
УПС   -  управление платежных систем ,ТЖБ- төлем жүйесінің басқармасы 
ЦБО- Центр банковского обслуживания ,БҚО- Банктік қызмет көрсету орталығы 
ЦПН- Центр по недвижимости,ЖМО- жылжымайтын мүлік орталығы 
,
ТРК- торгово-развлекательный комплекс ,СКК- сауда көңіл көтеру кешені 
ТС- транспортные средства ,КҚ- көліктік құралдар 
ТЭО- технико-экономическое обоснование ,ТЭД – технико- экономикалық  дəлелдеме 
ТБиОТ- Техника безопасности и Охрана труда ,ТҚжЕҚ- Техникалық қауіпсіздік жəне еңбекті қорғау 
УУМО - управление учета монетарных операций ,МОЕБ- Монетарлық операциялар есебінің басқармасы 
УПС   -  управление платежных систем ,ТЖБ- төлем жүйесінің басқармасы 
ЦБО- Центр банковского обслуживания ,БҚО- Банктік қызмет көрсету орталығы 
