source,target,case_sensitive
бүйырамын, приказываю, 0
банк кепілдігі,банковская гарантия,0
кепілдік міндеттеме,гарантийное обязательство,0
қосымша келісім,дополнительное соглашение,0
жылжымайтын мүлікті сатып алу-сату шарты,договор купли-продажи недвижимого имущества,0
мүлікті қабылдап алу-тапсыру актісі,акт приема-передачи имущества,0
қосымша,приложение,0
ережe,положение,0
атауы,наименование,0
заңды мекенжайы,юридический адрес,0
банктік деректемелері,банковские реквизиты,0
орналасқан жері,местонахождение,0
кадастрлық нөмірі,кадастровый номер,0
жалпы ауданы,общая площадь,0
техникалық күй,техническое состояние,0
жер учаскесі,земельный участок,0
бағалау құны,оценочная стоимость,0
бейінді емес мүлік,непрофильное имущество,0
жылжымайтын мүлік кепілі,залог недвижимого имущества,0
кепіл заты,предмет залога,0
акционерлік қоғамы,акционерное общество,0
жауапкершілігі шектеулі серіктестігі,общество с ограниченной ответственностью,0
бұдан әрі ... деп аталатын,именуемое в дальнейшем,0
бұдан әрі бірлесіп тараптар деп,далее совместно именуемые стороны,0
тараптар,стороны,0
сатушы,продавец,0
сатып алушы,покупатель,0
банк,банк,0
төлем ұйымы,платежная организация,0
атынан,в лице,0
негізінде әрекет ететін,действующего на основании,0
бас директор,генеральный директор,0
басқарма мүшесі,член правления,0
сенімхат негізінде,по доверенности,0
бірінші басшы,руководитель,0
бас бухгалтер,главный бухгалтер,0
электрондық-цифрлық қолтаңба,электронно-цифровая подпись,0
қолтаңбалары,подписи,0
бұйырамын,приказываю,0
қаулы етемін,постановляю,0
міндетті,обязан,0
тиіс,должен,0
тыйым салынады,запрещается,0
рұқсат етіледі,разрешается,0
күшіне енеді,вступает в силу,0
бекіту,утвердить,0
талап ету,требовать,0
орындаудан бас тартуға құқылы,вправе отказаться от исполнения,0
біржақты соттан тыс тәртіпте,в одностороннем внесудебном порядке,0
шартты бұзу,расторгнуть договор,0
жалпы құны,общая стоимость,0
сыйақы,вознаграждение,0
төлем,платеж,0
сома,сумма,0
өсімпұл,пеня,0
айыппұл,штраф,0
тұрақсыздық айыбы,неустойка,0
міндеттемелердің орындалуын қамтамасыз ету,обеспечение исполнения обязательств,0
конкурстық өтінімді қамтамасыз ету,обеспечение конкурсной заявки,0
шарттың орындалуы,исполнение договора,0
қолданылу мерзімі,срок действия,0
ішінде,в течение,0
жұмыс күні,рабочих дней,0
күнтізбелік күн,календарных дней,0
белгіленген мерзімде,в установленный срок,0
конкурстық құжаттама,конкурсная документация,0
ашық конкурс,открытый конкурс,0
жеңімпаз,победитель,0
құжаттарды салыстырып тексеру,сверка документов,0
еңсерілмейтін күш,форс-мажор,0
еңсерілмейтін күш жағдайлары,обстоятельства непреодолимой силы,0
хабарлама,уведомление,0
сот тәртібі,судебный порядок,0
келіссөздер,переговоры,0
меншік құқығы,право собственности,0
меншік құқығын ауыстыру,переход права собственности,0
қабылдап алу-тапсыру,приемка-передача,0
кездейсоқ опат болу тәуекелі,риск случайной гибели,0
мүліктің зақымдануы,повреждение имущества,0
мүлікті жақсарту,улучшения имущества,0
құпия ақпарат,конфиденциальная информация,0
дербес деректер,персональные данные,0
жария етпеуге,не разглашать,0
дербес деректерді өңдеу,обработка персональных данных,0
қазақстан республикасының заңнамасы,законодательство республики казахстан,0
нотариус,нотариус,0
нотариат куәландыруы,нотариальное удостоверение,0
күйеуінің (әйелінің) келісімі,согласие супруга,0
некеде тұрмайды,не состоит в браке,0
осы кепілдік қолданылады,настоящая гарантия действует,0
алғашқы жазбаша талап,первое письменное требование,0
қайтарымсыз міндеттеме,безотзывное обязательство,0
қол қою бонусы,подписной бонус,0
Жеке кабинет,личный кабинет,0
ақпараттық-технологиялық қызмет көрсету,информационно-технологическое обслуживание,0
АҚ,АО,1
ЖШС,ТОО,1
БСН,БИН,1
ЖСН,ИИН,1
БСК,БИК,1
РММ,РГУ,1
қ.,г.,1
к-сі,ул.,1
м.о.,м.п.,1
қатаң есептегі бланкілер,бланки строгой отчетности,0
қатаң есептегі бланкілерді жою,уничтожение бланков строгой отчетности,0
комиссия құру,создать комиссию,0
комиссия құрамы,состав комиссии,0
комиссия төрағасы,председатель комиссии,0
комиссия мүшелері,члены комиссии,0
Банк филиалының Бас бухгалтері,главный бухгалтер филиала Банка,0
Кеңсе бағыты,Направление канцелярии,0
Қауіпсіздік бағыты,Направление безопасности,0
Аты-жөні,ФИО,1
лауазымы/атағы,звание/должность,0
Нұсқаулық,Инструкция,0
№6 қосымша,Приложение №6,1
Нұсқаулыққа,к Инструкции,0
сәйкес,в соответствии с,0
бекітілген,утверждено,0
БҰЙЫРАЙМЫН,ПРИКАЗЫВАЮ,1
осы бұйрық,настоящий приказ,0
осы бұйрық қол қойған күнінен бастап күшіне енеді,настоящий приказ вступает в силу с даты подписания,0
белгіленген тәртіппен күшін жою күніне дейін қолданылады,действует до его отмены в установленном порядке,0
бұйрығының күші жойылған деп танылсын,считать утратившим силу приказ,0
осы бұйрықты барлық мүдделі тұлғалардың назарына жеткізсін,довести настоящий приказ до сведения всех заинтересованных лиц,0
орындалуын бақылау … жүктелсін,контроль за исполнением возложить на,0
операциялық бэк-офис,операционный бэк-офис,0
Банк филиалы,филиал Банка,0
«ForteBank» АҚ филиалы,филиал АО «ForteBank»,1
тоқсан сайын,ежеквартально,0
жою туралы акт,акт об уничтожении,0
қатаң есептілігі бұзылған бланкілер,испорченные бланки строгой отчетности,0
нысан бойынша,по форме согласно,0
Қосымшаға сәйкес,согласно Приложению,0
қ.,г.,1
